whales,record_start_utc,tagon_lat,tagon_lon,sensor_record_dur_hr,data_cropped,afs,acc_fs,mag_fs,z_fs
Zica-20191012-144029,12-Oct-2019 16:43:59,32.7592,-118.9226,141.566666666667,1,96000,100,25,1
Zica-20191012-145101,12-Oct-2019 20:38:04,32.7096,-118.7881,167.22,1,96000,100,25,1
Zica-20191111-94810,11-Nov-2019 22:45:03,32.7096,-118.7881,289.245277777778,0,96000,100,25,1
Zica-20191117-195993,17-Nov-2019 18:00:06,32.6745,-118.8221,8.06888888888889,1,96000,100,25,1
Zica-20211112-94819,12-Nov-2021 22:02:43,32.9163,-118.987167,274.447222222222,1,96000,100,25,1
Zica-20211113-195993,13-Nov-2021 18:24:30,32.868333,-119.102167,99.6027777777778,1,96000,100,25,1
Zica-20220112-195994,12-Jan-2022 18:22:20,32.771,-118.9546,161.880555555556,1,48000,100,25,1
Zica-20230518-233391,18-May-2023 19:06:26,32.8808,-119.0669,258.976944444444,1,48000,100,25,1
Zica-20230519-232950,19-May-2023 23:07:08,32.845,-118.9746,245.541388888889,1,48000,100,25,1
Zica-20230723-233394,23-Jul-2023 18:48:26,32.828,-119.0363,63.5369,1,48000,100,25,1
Zica-20230723-233395,23-Jul-2023 20:45:37,32.8752,-119.0218,48.0825,1,48000,100,25,1
Zica-20240227-233396,27-Feb-2024 22:11:43,32.8801,-118.9486,241.803611111111,0,48000,100,25,1
Zica-20240227-240128,27-Feb-2024 20:00:10,32.8713,-118.958,97.0016666666667,1,48000,100,25,1
